feature,coefficient
discharge_disposition_id,0.17928012111117972
number_inpatient,0.14030119003191233
tolazamide,-0.1400423072538345
age_numeric,0.12359358211711453
time_in_hospital,0.10981075476038588
diag_1_category_Respiratory,-0.07527879536634181
glipizide-metformin,-0.07214197442148075
number_diagnoses,0.07153792474065122
metformin,-0.07023997355062378
had_prior_inpatient_visit,0.06931672735126751
diag_1_category_Circulatory,0.05954788297184598
medical_specialty_Cardiology,-0.05623564154726033
number_emergency,0.05393949468933529
medical_specialty_Orthopedics-Reconstructive,-0.051344529554130644
diabetesMed_Yes,0.05108737028211549
diabetesMed_No,-0.0510873702821153
total_prior_visits,0.049403424817369194
troglitazone,-0.04723131005383315
num_medications_prescribed,0.04671027194533184
gender_Unknown/Invalid,-0.0445967629525095
metformin-rosiglitazone,-0.04343176319852785
num_medications_changed,0.04103044597733946
number_outpatient,-0.03801347577376092
pioglitazone,-0.03766184103950605
num_lab_procedures,0.03618950419943205
acetohexamide,-0.034245896066007614
glyburide,-0.033096580786851175
medical_specialty_Nephrology,0.032444148620372315
admission_source_id,-0.03168681238328151
insulin,-0.03041915383241227
num_procedures,-0.028043867963565894
max_glu_serum_Not Tested,-0.02713065701626017
medical_specialty_Family/GeneralPractice,0.02613222510000726
repaglinide,0.026010623620176566
metformin-pioglitazone,-0.025720271675731664
medical_specialty_Radiologist,-0.02551378918033387
chlorpropamide,-0.023822168114089454
A1Cresult_Not Tested,0.023479663231351904
medical_specialty_InternalMedicine,0.023367436300002747
glimepiride,-0.02303041137427714
diag_1_category_Injury,0.022897028722326126
max_glu_serum_Norm,0.022573448584587673
admission_type_id,-0.021755080647690505
A1Cresult_>8,-0.020722604352047452
diag_1_category_Diabetes,0.020647105787227216
diag_1_category_Digestive,-0.018472693829340643
medical_specialty_Emergency/Trauma,-0.017271639747607412
max_glu_serum_>200,0.01607448119264662
diag_1_category_Other,-0.015914598061624208
glyburide-metformin,-0.015686855259889457
diag_1_category_Unknown,0.01526632433343556
race_Hispanic,-0.015151657518545
medical_specialty_Orthopedics,0.014056767986282154
medical_specialty_Unknown,0.013923477552035556
nateglinide,-0.013010781068712972
rosiglitazone,-0.012139744258204558
race_Caucasian,0.011761087308524296
miglitol,-0.01095587999177113
diag_1_category_Musculoskeletal,-0.009989687766705604
race_Unknown,-0.009832653506515809
race_Other,-0.009426713648028705
A1Cresult_>7,-0.009308278008376901
acarbose,-0.008786147787967321
glipizide,0.008445490679569378
A1Cresult_Norm,-0.005957621962687196
max_glu_serum_>300,0.004740333838459896
tolbutamide,-0.004553881341388105
num_medications,0.0036812030987236916
medical_specialty_Other,-0.0036659976336540566
diag_1_category_Genitourinary,0.0035371860999312654
medical_specialty_Surgery-General,0.0015340449817842375
diag_1_category_Neoplasms,-0.0013957048850641485
race_Asian,0.001329595086466975
change_No,0.0011978475737092497
change_Ch,-0.0011978475737092497
gender_Male,0.0011446441034853704
gender_Female,-0.000610509717928386
race_AfricanAmerican,-0.0005448850260629916
citoglipton,0.0
glimepiride-pioglitazone,0.0
examide,0.0
