feature,random_forest_importance
discharge_disposition_id,0.1699522945854787
num_lab_procedures,0.06965261969139643
time_in_hospital,0.06740089101932481
number_inpatient,0.06561327560450124
num_medications,0.06446736342309797
age_numeric,0.05461006898495588
had_prior_inpatient_visit,0.05040184089191797
total_prior_visits,0.04326697274310758
number_diagnoses,0.04153488508730956
num_procedures,0.025660944332696237
admission_type_id,0.02214013229649484
admission_source_id,0.01839121965565148
num_medications_prescribed,0.01837202816225962
insulin,0.01599398345710193
diag_1_category_Circulatory,0.015484653577707104
number_outpatient,0.012525443038837741
number_emergency,0.012505734890302782
diag_1_category_Respiratory,0.012156924585902467
metformin,0.01141814343791482
medical_specialty_Unknown,0.010048041434137567
gender_Male,0.009158496665665022
gender_Female,0.008988929154285816
num_medications_changed,0.008959127320753484
diabetesMed_Yes,0.008233531194057139
race_Caucasian,0.008098216564872238
diabetesMed_No,0.0077628509244469955
glipizide,0.007058916879304523
A1Cresult_Not Tested,0.007021570631044429
change_Ch,0.006651325664352945
medical_specialty_InternalMedicine,0.006638117929227596
diag_1_category_Other,0.006203631858253976
race_AfricanAmerican,0.006196694502743064
diag_1_category_Diabetes,0.006182806286574731
medical_specialty_Cardiology,0.006166952564533876
change_No,0.005643843572514534
glyburide,0.005573251150550916
diag_1_category_Musculoskeletal,0.0053980305541924505
medical_specialty_Other,0.004785113845975832
A1Cresult_>8,0.004639217035634333
medical_specialty_Emergency/Trauma,0.004630617846147728
pioglitazone,0.004519496838481146
diag_1_category_Injury,0.004489689458927623
diag_1_category_Digestive,0.004364127994494506
A1Cresult_Norm,0.00404898405730399
medical_specialty_Family/GeneralPractice,0.003997183194412175
diag_1_category_Genitourinary,0.0033602536489408304
rosiglitazone,0.0032429945238428917
max_glu_serum_Not Tested,0.0031715301135815145
glimepiride,0.0031233670287055195
medical_specialty_Surgery-General,0.0029806581387174735
medical_specialty_Orthopedics-Reconstructive,0.00296746669531797
diag_1_category_Neoplasms,0.0028890867162219215
race_Hispanic,0.0026575446707973616
A1Cresult_>7,0.0025807604608760345
race_Unknown,0.002282547532887176
max_glu_serum_Norm,0.0021916653675021643
medical_specialty_Nephrology,0.0018113914290659968
medical_specialty_Radiologist,0.001733175836713821
repaglinide,0.0017090366616647852
medical_specialty_Orthopedics,0.0014650061513236006
race_Other,0.0012849720795459116
max_glu_serum_>200,0.0012188192002404112
max_glu_serum_>300,0.0006295081540662237
glyburide-metformin,0.0005416037159337823
nateglinide,0.0004909830303496921
race_Asian,0.0004454154922372821
acarbose,0.00021402876261980832
acetohexamide,0.0
chlorpropamide,0.0
gender_Unknown/Invalid,0.0
metformin-pioglitazone,0.0
examide,0.0
tolbutamide,0.0
troglitazone,0.0
miglitol,0.0
metformin-rosiglitazone,0.0
tolazamide,0.0
citoglipton,0.0
glipizide-metformin,0.0
glimepiride-pioglitazone,0.0
diag_1_category_Unknown,0.0
